Fea001,Fea002,Fea003,Fea004,Fea005,Fea006,Fea007,Fea008,Fea009,Fea010,Fea011,Fea012,CPU1,Mem1,CPU2,Mem2
0,0,51,35,51,35,51,35,5,5,255,175,4.360279,17.219543,0.207425,11.291504
0,0,51,35,51,35,51,35,5,5,255,175,4.360279,17.219543,0.207425,11.291504
0,0,51,35,51,35,51,35,5,5,255,175,3.876664,17.221165,0.181567,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,3.876664,17.221165,0.181567,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,3.876664,17.221165,0.181567,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,4.421112,17.224884,0.216818,11.120796
0,0,51,35,51,35,51,35,5,5,255,175,4.177845,17.219734,1.41907,11.304665
0,0,51,35,51,35,51,35,5,5,255,175,4.177845,17.219734,1.41907,11.304665
0,0,51,35,51,35,51,35,5,5,255,175,4.177845,17.219734,1.41907,11.304665
0,0,51,35,51,35,51,35,5,5,255,175,3.876664,17.221165,0.181567,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,3.876664,17.221165,0.181567,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,3.876664,17.221165,0.181567,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,4.126392,17.227936,0.186542,11.119175
0,0,51,35,51,35,51,35,5,5,255,175,3.900197,17.225838,0.940105,11.30619
0,0,51,35,51,35,51,35,5,5,255,175,3.900197,17.225838,0.940105,11.30619
0,0,51,35,51,35,51,35,5,5,255,175,3.900197,17.225838,0.940105,11.30619
0,0,51,35,51,35,51,35,5,5,255,175,4.173548,17.221165,0.226041,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,4.173548,17.221165,0.226041,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,4.173548,17.221165,0.226041,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,4.912811,17.225265,0.806848,11.128759
0,0,51,35,51,35,51,35,5,5,255,175,3.887749,17.226791,0.80116,11.310005
0,0,51,35,51,35,51,35,5,5,255,175,3.887749,17.226791,0.80116,11.310005
0,0,51,35,51,35,51,35,5,5,255,175,3.887749,17.226791,0.80116,11.310005
0,0,51,35,51,35,51,35,5,5,255,175,4.173548,17.219973,0.181567,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,4.173548,17.219973,0.181567,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,4.173548,17.219973,0.181567,10.84671
0,0,51,35,51,35,51,35,5,5,255,175,4.126392,17.227936,0.186542,11.120796
0,0,51,35,51,35,51,35,5,5,255,175,4.238772,17.226982,0.427565,11.321545
0,0,51,35,51,35,51,35,5,5,255,175,4.238772,17.226982,0.427565,11.321545
0,0,51,35,51,35,51,35,5,5,255,175,4.238772,17.226982,0.427565,11.321545
0,0,51,35,51,35,51,35,5,5,255,175,4.173548,17.221165,0.226041,10.847664
0,0,51,35,51,35,51,35,5,5,255,175,4.173548,17.221165,0.226041,10.847664
0,0,51,35,51,35,51,35,5,5,255,175,4.173548,17.221165,0.226041,10.847664
0,0,51,35,51,35,51,35,5,5,255,175,4.395646,17.222023,0.566284,11.107826
0,0,51,35,51,35,51,35,5,5,255,175,4.150742,17.227364,0.243967,11.327267
0,0,51,35,51,35,51,35,5,5,255,175,4.150742,17.227364,0.243967,11.327267
0,0,51,35,51,35,51,35,5,5,255,175,4.150742,17.227364,0.243967,11.327267
0,0,51,35,51,35,51,35,5,5,255,175,3.876664,17.221165,0.181567,10.847664
0,0,51,35,51,35,51,35,5,5,255,175,3.876664,17.221165,0.181567,10.847664
0,0,51,35,51,35,51,35,5,5,255,175,3.876664,17.221165,0.181567,10.847664
0,0,51,35,51,35,51,35,5,5,255,175,3.890156,17.230797,0.532638,11.003828
0,0,51,35,51,35,51,35,5,5,255,175,3.701031,17.228317,0.295564,11.326599
