Fea001|Fea002|Fea003|Fea004|Fea005|Fea006|Fea007|Fea008|Fea009|Fea010|Fea011|Fea012|Mem1|Mem2
0|0|51|35|51|35|51|35|7|8|357|280|17.238998000000002|11.786078999999999
0|0|51|0|51|0|51|0|1|0|51|0|17.238998000000002|11.810493
0|0|51|35|51|35|51|35|10|10|510|350|17.238998000000002|11.810493
0|0|51|35|51|35|51|35|10|9|510|315|17.238998000000002|11.810493
0|0|51|35|51|35|51|35|10|9|510|315|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|20|19|1020|665|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.223882999999997|11.201286
0|0|51|35|51|35|51|35|10|10|510|350|17.234420999999998|11.757469
0|0|51|35|51|35|51|35|10|10|510|350|17.237663|11.815357
0|0|51|35|51|35|51|35|10|10|510|350|17.237663|11.815357
0|0|51|35|51|35|51|35|10|10|510|350|17.237663|11.815357
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.221165|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.219542999999998|11.167908
0|0|51|35|51|35|51|35|10|10|510|350|17.222786|11.378288000000001
0|0|51|35|51|35|51|35|10|10|510|350|17.232513|11.831474
0|0|51|35|51|35|51|35|10|10|510|350|17.232513|11.831474
0|0|51|35|51|35|51|35|10|10|510|350|17.232513|11.831474
0|0|51|35|51|35|51|35|10|10|510|350|17.219973|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.219973|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.219973|10.847664
0|0|51|35|51|35|51|35|10|10|510|350|17.223357999999998|10.868931
0|0|51|35|51|35|51|35|10|10|510|350|17.226886999999998|11.321545
0|0|51|35|51|35|51|35|10|10|510|350|17.236805|11.767387
0|0|51|35|51|35|51|35|10|10|510|350|17.237854000000002|11.823845
0|0|51|35|51|35|51|35|10|10|510|350|17.237854000000002|11.823845
0|0|51|35|51|35|51|35|10|10|510|350|17.237854000000002|11.823845
0|0|51|35|51|35|51|35|10|10|510|350|17.219973|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.219973|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.219973|10.84671
0|0|51|35|51|35|51|35|10|10|510|350|17.225361|11.283684
0|0|51|35|51|35|51|35|10|10|510|350|17.229461999999998|11.770821
0|0|51|35|51|35|51|35|30|30|1530|1050|17.236328|11.828613
0|0|51|35|51|35|51|35|30|30|1530|1050|17.236328|11.828613
0|0|51|35|51|35|51|35|30|30|1530|1050|17.236328|11.828613
0|0|51|35|51|35|51|35|30|30|1530|1050|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|23|24|1173|840|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|5|6|255|210|17.218398999999998|10.847664
0|0|51|35|51|35|51|35|24|23|1224|805|17.228127|11.116123
0|0|51|35|51|35|51|35|30|30|1530|1050|17.233276|11.342621000000001
0|0|51|35|51|35|51|35|30|30|1530|1050|17.235088|11.825847999999999
0|0|51|35|51|35|51|35|30|30|1530|1050|17.239189|11.857224
0|0|51|35|51|35|51|35|60|59|3060|2065|17.239189|11.857224
